"symbol","total_prices","stock_from_date","stock_to_date","total_earnings","earnings_from_date","earnings_to_date"
"A","5135","1999-11-18","2020-04-17","44","2009-05-14","2020-02-18"
"AA","870","2016-11-01","2020-04-17","14","2017-01-24","2020-04-22"
"AAAP","574","2015-11-11","2018-07-18","0","NULL","NULL"
"AABA","5486","1998-01-02","2020-03-10","14","2014-01-28","2017-04-18"
"AAC","1292","2014-10-02","2020-04-07","22","2014-11-05","2019-08-30"
"AAL","3663","2005-09-27","2020-04-16","25","2014-01-28","2020-01-23"
"AAMC","1848","2012-12-13","2020-04-17","23","2013-05-09","2018-11-07"
"AAME","5608","1998-01-02","2020-04-16","39","2009-05-14","2018-11-13"
"AAN","5609","1998-01-02","2020-04-17","43","2009-08-05","2020-02-20"
"AAOI","1650","2013-09-26","2020-04-16","26","2013-11-07","2020-02-27"
"AAON","5608","1998-01-02","2020-04-16","43","2009-05-06","2020-02-27"
"AAP","4627","2001-11-29","2020-04-17","44","2009-05-20","2020-02-18"
"AAPL","5608","1998-01-02","2020-04-16","43","2009-07-21","2020-01-28"
"AAT","2330","2011-01-13","2020-04-17","36","2011-05-10","2020-02-11"
"AAU","3605","2005-12-20","2020-04-17","30","2011-08-11","2018-11-07"
"AAV","3601","2004-03-31","2018-07-19","0","NULL","NULL"
"AAWW","3632","2005-11-09","2020-04-16","44","2009-05-05","2020-02-20"
"AAXJ","2937","2008-08-15","2020-04-16","0","NULL","NULL"
"AAXN","4744","2001-06-07","2020-04-16","25","2014-02-26","2020-02-27"
"AB","5609","1998-01-02","2020-04-17","43","2009-07-30","2020-02-12"
"ABAC","2205","2010-07-20","2019-04-23","0","NULL","NULL"
"ABAX","5180","1998-01-02","2018-08-03","0","NULL","NULL"
"ABB","4787","2001-04-06","2020-04-17","37","2009-10-30","2020-02-05"
"ABBV","1836","2013-01-02","2020-04-17","28","2013-04-26","2020-02-07"
"ABC","5609","1998-01-02","2020-04-17","43","2009-07-30","2020-01-30"
"ABCB","5608","1998-01-02","2020-04-16","44","2009-07-21","2020-04-23"
"ABCD","2272","2009-12-09","2018-12-18","0","NULL","NULL"
"ABDC","1446","2014-05-09","2020-03-10","21","2014-11-10","2019-11-05"
"ABE","4358","2001-01-02","2018-06-06","0","NULL","NULL"
"ABEO","5608","1998-01-02","2020-04-16","22","2015-05-14","2020-03-17"
"ABEOW","941","2015-06-22","2020-01-29","0","NULL","NULL"
"ABEV","5609","1998-01-02","2020-04-17","26","2014-02-26","2020-02-27"
"ABG","4551","2002-03-21","2020-04-17","43","2009-07-30","2020-02-03"
"ABIL","1084","2015-12-24","2020-04-16","10","2016-05-02","2018-12-26"
"ABIO","5608","1998-01-02","2020-04-16","34","2009-11-16","2020-02-18"
"ABLX","170","2017-10-20","2018-07-18","0","NULL","NULL"
"ABM","5609","1998-01-02","2020-04-17","44","2009-06-04","2020-03-04"
"ABMD","5608","1998-01-02","2020-04-16","44","2009-05-12","2020-02-06"
"ABR","4035","2004-04-07","2020-04-17","44","2009-05-08","2020-02-14"
"ABRN","995","2014-05-15","2018-04-26","0","NULL","NULL"
"ABT","5609","1998-01-02","2020-04-17","44","2009-07-15","2020-04-16"
"ABTX","1138","2015-10-08","2020-04-16","18","2015-10-30","2020-01-29"
"ABUS","1185","2015-08-03","2020-04-16","25","2014-03-06","2020-03-05"
"ABX","5372","1998-01-02","2019-05-09","0","NULL","NULL"
"AC","1102","2015-12-01","2020-04-17","13","2015-12-15","2018-11-06"
"ACA","369","2018-10-30","2020-04-20","5","2019-02-27","2020-02-26"
"ACAD","3999","2004-05-27","2020-04-16","44","2009-05-11","2020-02-26"
"ACAMU","182","2019-02-22","2020-04-27","0","NULL","NULL"
"ACAMW","117","2019-04-15","2020-04-21","0","NULL","NULL"
"ACB","1454","2014-07-11","2020-04-20","4","2019-05-14","2020-02-13"
"ACBI","1121","2015-11-02","2020-04-16","19","2015-11-13","2020-04-23"
"ACC","3948","2004-08-12","2020-04-17","44","2009-07-28","2020-04-20"
"ACCO","3692","2005-08-17","2020-04-17","33","2012-05-10","2020-02-11"
"ACER","645","2017-09-22","2020-04-16","23","2014-05-14","2020-03-18"
"ACERW","750","2015-04-14","2018-04-05","0","NULL","NULL"
"ACET","5425","1998-01-02","2019-07-25","39","2009-05-08","2018-11-08"
"ACFC","3440","2004-10-05","2018-11-14","0","NULL","NULL"
"ACGL","5608","1998-01-02","2020-04-16","43","2009-07-23","2020-02-11"
"ACGLO","672","2017-08-15","2020-04-16","0","NULL","NULL"
"ACGLP","896","2016-09-23","2020-04-16","0","NULL","NULL"
"ACH","4619","2001-12-11","2020-04-17","24","2009-08-25","2018-10-25"
"ACHC","5608","1998-01-02","2020-04-16","33","2012-03-07","2020-02-27"
"ACHN","3328","2006-11-09","2020-03-05","43","2009-05-15","2019-11-07"
"ACHV","5608","1998-01-02","2020-04-16","25","2014-03-11","2020-03-13"
"ACIA","988","2016-05-13","2020-04-16","15","2016-08-11","2020-02-18"
"ACIU","896","2016-09-23","2020-04-16","12","2017-05-11","2020-03-30"
"ACIW","5608","1998-01-02","2020-04-16","44","2009-05-06","2020-02-27"
"ACLS","4973","2000-07-11","2020-04-16","44","2009-05-11","2020-02-05"
"ACM","3258","2007-05-10","2020-04-17","44","2009-05-07","2020-02-03"
"ACMR","626","2011-11-18","2020-04-16","10","2017-12-07","2020-03-18"
"ACN","4716","2001-07-19","2020-04-17","44","2009-06-25","2020-03-19"
"ACNB","5608","1998-01-02","2020-04-16","30","2011-10-31","2019-01-30"
"ACOR","3569","2006-02-10","2020-04-16","44","2009-05-06","2020-02-13"
"ACP","2321","2011-01-27","2020-04-17","0","NULL","NULL"
"ACRE","2006","2012-04-27","2020-04-17","31","2012-08-14","2020-02-20"
"ACRS","1139","2015-10-07","2020-04-16","18","2015-11-18","2020-02-25"
"ACRX","2309","2011-02-11","2020-04-16","35","2011-08-11","2020-03-16"
"ACSF","1182","2014-01-16","2019-07-12","0","NULL","NULL"
"ACST","2251","2011-05-06","2020-04-16","20","2014-05-21","2019-11-13"
"ACT","588","2017-12-13","2020-04-16","6","2014-02-20","2015-05-11"
"ACTA","4716","1999-08-05","2019-07-12","0","NULL","NULL"
"ACTG","4363","2002-12-16","2020-04-16","38","2009-07-23","2018-10-25"
"ACTT","235","2019-05-14","2020-04-17","0","NULL","NULL"
"ACTTU","247","2019-04-26","2020-04-21","1","2020-03-30","2020-03-30"
"ACTTW","186","2019-05-14","2020-04-17","0","NULL","NULL"
"ACU","5609","1998-01-02","2020-04-17","44","2009-07-17","2020-04-17"
"ACV","1235","2015-05-22","2020-04-17","0","NULL","NULL"
"ACWI","3035","2008-03-28","2020-04-16","0","NULL","NULL"
"ACWX","3034","2008-03-31","2020-04-16","0","NULL","NULL"
"ACXM","5222","1998-01-02","2019-02-08","0","NULL","NULL"
"ACY","5597","1998-01-20","2020-04-17","43","2009-05-07","2019-11-14"
"ADAP","1246","2015-05-06","2020-04-16","18","2015-11-13","2019-11-06"
"ADBE","5608","1998-01-02","2020-04-16","44","2009-06-16","2020-03-12"
"ADC","5609","1998-01-02","2020-04-17","43","2009-07-30","2020-04-20"
"ADES","4086","2004-01-23","2020-04-16","35","2009-05-14","2020-03-16"
"ADI","5608","1998-01-02","2020-04-16","44","2009-05-19","2020-02-19"
"ADIL","435","2018-07-27","2020-04-20","4","2019-02-13","2019-08-13"
"ADILW","250","2018-07-27","2020-04-17","0","NULL","NULL"
"ADM","5609","1998-01-02","2020-04-17","44","2009-05-05","2020-01-29"
"ADMA","1635","2013-10-17","2020-04-16","24","2014-08-11","2020-03-12"
"ADMP","5608","1998-01-02","2020-04-16","26","2012-02-14","2020-03-30"
"ADMS","1515","2014-04-10","2020-04-16","24","2014-05-13","2020-02-25"
"ADNT","871","2016-10-31","2020-04-17","13","2017-02-03","2020-01-31"
"ADOM","714","2017-06-15","2020-04-16","6","2017-11-13","2019-07-24"
"ADP","5608","1998-01-02","2020-04-16","44","2009-05-05","2020-01-29"
"ADRA","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADRD","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADRE","4385","2002-11-13","2020-04-16","0","NULL","NULL"
"ADRO","1261","2015-04-15","2020-04-16","20","2015-05-28","2020-03-09"
"ADRU","4345","2002-11-13","2020-03-10","0","NULL","NULL"
"ADS","4739","2001-06-15","2020-04-17","44","2009-07-22","2020-04-23"
"ADSK","5608","1998-01-02","2020-04-16","44","2009-05-21","2020-02-27"
"ADSW","888","2016-10-06","2020-04-17","13","2016-11-02","2019-10-29"
"ADT","1899","2012-09-28","2020-04-17","16","2014-01-30","2019-08-06"
"ADTN","5608","1998-01-02","2020-04-16","46","2009-07-14","2020-02-06"
"ADUS","2634","2009-10-28","2020-04-16","41","2009-11-12","2019-11-04"
"ADVM","1079","2016-01-04","2020-04-16","23","2014-09-11","2020-03-12"
"ADX","5609","1998-01-02","2020-04-17","0","NULL","NULL"
"ADXS","3705","2005-07-28","2020-04-16","29","2013-02-13","2020-03-13"
"ADXSW","1227","2013-10-17","2018-10-18","0","NULL","NULL"
"AE","5609","1998-01-02","2020-04-17","39","2009-05-13","2018-11-07"
"AEB","3623","2005-11-23","2020-04-17","0","NULL","NULL"
"AED","3412","2005-11-23","2019-06-28","0","NULL","NULL"
"AEE","5609","1998-01-02","2020-04-17","43","2009-08-06","2020-02-26"
"AEF","4847","2001-01-02","2020-04-20","0","NULL","NULL"
"AEG","5609","1998-01-02","2020-04-17","34","2009-05-14","2018-02-15"
"AEGN","5608","1998-01-02","2020-04-16","35","2011-10-25","2020-02-26"
"AEH","3651","2005-06-15","2019-12-13","0","NULL","NULL"
"AEHR","5608","1998-01-02","2020-04-16","43","2009-07-28","2020-04-02"
"AEIS","5608","1998-01-02","2020-04-16","43","2009-07-23","2020-02-18"
"AEK","1577","2012-02-07","2018-05-14","0","NULL","NULL"
"AEL","4121","2003-12-04","2020-04-20","44","2009-05-06","2020-02-12"
"AEM","5609","1998-01-02","2020-04-17","43","2009-07-29","2020-02-13"
"AEMD","4852","2001-01-02","2020-04-16","23","2014-02-11","2020-02-10"
"AEO","5609","1998-01-02","2020-04-17","44","2009-05-27","2020-03-04"
"AEP","5609","1998-01-02","2020-04-17","43","2009-07-31","2020-02-20"
"AER","3373","2006-11-21","2020-04-17","44","2009-05-07","2020-02-13"
"AERI","1629","2013-10-25","2020-04-16","25","2013-12-04","2019-11-06"
"AES","5609","1998-01-02","2020-04-17","44","2009-05-08","2020-02-28"
"AET","4712","2000-01-03","2018-09-24","0","NULL","NULL"
"AETI","3170","2006-12-28","2019-08-02","39","2009-05-01","2018-11-14"
"AEUA","754","2015-06-11","2018-06-07","0","NULL","NULL"
"AEY","5608","1998-01-02","2020-04-16","39","2009-05-12","2018-12-28"
"AEYE","1740","2013-04-26","2020-04-20","13","2015-07-17","2020-03-23"
"AEZS","5015","2000-05-10","2020-04-16","42","2009-05-06","2019-11-07"
"AFAM","4591","2000-01-03","2018-06-07","0","NULL","NULL"
"AFB","4587","2002-01-29","2020-04-17","0","NULL","NULL"
"AFC","3275","2007-04-17","2020-04-17","0","NULL","NULL"
"AFG","5609","1998-01-02","2020-04-17","44","2009-05-04","2020-02-03"
"AFGB","280","2019-03-19","2020-04-27","0","NULL","NULL"
"AFGE","1321","2014-09-24","2019-12-20","0","NULL","NULL"
"AFGH","1110","2015-11-18","2020-04-17","0","NULL","NULL"
"AFH","1807","2013-02-12","2020-04-16","25","2013-03-18","2019-03-04"
"AFHBL","692","2017-05-16","2020-04-16","0","NULL","NULL"
"AFI","1029","2016-03-17","2020-04-17","16","2016-08-12","2020-03-03"
"AFIN","441","2018-07-19","2020-04-20","2","2019-11-06","2020-02-26"
"AFINP","273","2019-03-22","2020-04-21","0","NULL","NULL"
"AFL","5609","1998-01-02","2020-04-17","43","2009-07-29","2020-02-04"
"AFMD","1408","2014-09-12","2020-04-16","21","2014-11-18","2019-11-19"
"AFSI","3043","2006-11-13","2019-11-05","0","NULL","NULL"
"AFSS","996","2015-06-22","2019-06-05","0","NULL","NULL"
"AFST","935","2015-09-17","2019-06-05","0","NULL","NULL"
"AFT","2301","2011-02-25","2020-04-17","0","NULL","NULL"
"AG","3369","2006-11-28","2020-04-17","37","2011-05-16","2020-02-19"
"AGBAU","105","2019-05-14","2020-04-17","0","NULL","NULL"
"AGC","2820","2007-05-25","2018-08-06","0","NULL","NULL"
"AGCO","5610","1998-01-02","2020-04-20","43","2009-07-28","2020-02-06"
